"doc_id","text","favorite_count","retweet_count","lat","lng","search_term","word","sentiment"
"xtwitter_data.csv.2","x931073275",0,0,,,"no idea what he's saying","decline","negative"
"xtwitter_data.csv.2","x931073275",0,0,,,"no idea what he's saying","trump","positive"
"xtwitter_data.csv.2","x931073275",0,0,,,"no idea what he's saying","sad","negative"
"xtwitter_data.csv.2","x931073275",0,0,,,"no idea what he's saying","sad","negative"
"xtwitter_data.csv.2","x931073275",0,0,,,"no idea what he's saying","sad","negative"
"xtwitter_data.csv.3","x2549616986",4,1,,,"no idea what he's saying","garbage","negative"
"xtwitter_data.csv.4","x1333469032218025988",55,0,,,"no idea what he's saying","good","positive"
"xtwitter_data.csv.4","x1333469032218025988",55,0,,,"no idea what he's saying","fans","positive"
"xtwitter_data.csv.5","x1059918839645945861",0,0,,,"no idea what he's saying","won","positive"
"xtwitter_data.csv.7","x1023656528950251520",0,0,,,"no idea what he's saying","afraid","negative"
"xtwitter_data.csv.7","x1023656528950251520",0,0,,,"no idea what he's saying","aggressive","negative"
"xtwitter_data.csv.7","x1023656528950251520",0,0,,,"no idea what he's saying","violent","negative"
"xtwitter_data.csv.7","x1023656528950251520",0,0,,,"no idea what he's saying","clearly","positive"
"xtwitter_data.csv.7","x1023656528950251520",0,0,,,"no idea what he's saying","hypocrite","negative"
"xtwitter_data.csv.9","x33501239",48,4,,,"no idea what he's saying","trapped","negative"
"xtwitter_data.csv.9","x33501239",48,4,,,"no idea what he's saying","provocative","negative"
"xtwitter_data.csv.10","x1349486645268140037",0,0,,,"no idea what he's saying","doubt","negative"
"xtwitter_data.csv.11","x38908196",0,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.11","x38908196",0,0,,,"no idea what he's saying","fucking","negative"
"xtwitter_data.csv.11","x38908196",0,0,,,"no idea what he's saying","good","positive"
"xtwitter_data.csv.12","x439489402",1,0,,,"no idea what he's saying","lies","negative"
"xtwitter_data.csv.12","x439489402",1,0,,,"no idea what he's saying","problem","negative"
"xtwitter_data.csv.12","x439489402",1,0,,,"no idea what he's saying","intelligent","positive"
"xtwitter_data.csv.12","x439489402",1,0,,,"no idea what he's saying","dedicated","positive"
"xtwitter_data.csv.12","x439489402",1,0,,,"no idea what he's saying","amazing","positive"
"xtwitter_data.csv.13","x499069576",2,0,,,"no idea what he's saying","bad","negative"
"xtwitter_data.csv.13","x499069576",2,0,,,"no idea what he's saying","fucking","negative"
"xtwitter_data.csv.14","x1330111626",0,0,,,"no idea what he's saying","prison","negative"
"xtwitter_data.csv.14","x1330111626",0,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.14","x1330111626",0,0,,,"no idea what he's saying","negligent","negative"
"xtwitter_data.csv.14","x1330111626",0,0,,,"no idea what he's saying","negligent","negative"
"xtwitter_data.csv.14","x1330111626",0,0,,,"no idea what he's saying","better","positive"
"xtwitter_data.csv.15","x827668315749306370",2,0,,,"no idea what he's saying","insulted","negative"
"xtwitter_data.csv.15","x827668315749306370",2,0,,,"no idea what he's saying","warm","positive"
"xtwitter_data.csv.16","x1107809096403767301",1,0,,,"no idea what he's saying","good","positive"
"xtwitter_data.csv.16","x1107809096403767301",1,0,,,"no idea what he's saying","injury","negative"
"xtwitter_data.csv.18","x1173608136445517824",0,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.18","x1173608136445517824",0,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.18","x1173608136445517824",0,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.19","x26118226",6,0,,,"no idea what he's saying","love","positive"
"xtwitter_data.csv.19","x26118226",6,0,,,"no idea what he's saying","hardy","positive"
"xtwitter_data.csv.19","x26118226",6,0,,,"no idea what he's saying","clear","positive"
"xtwitter_data.csv.20","x3190955922",0,0,,,"no idea what he's saying","trump","positive"
"xtwitter_data.csv.20","x3190955922",0,0,,,"no idea what he's saying","intelligence","positive"
"xtwitter_data.csv.20","x3190955922",0,0,,,"no idea what he's saying","incessantly","negative"
"xtwitter_data.csv.20","x3190955922",0,0,,,"no idea what he's saying","idiot","negative"
"xtwitter_data.csv.20","x3190955922",0,0,,,"no idea what he's saying","smart","positive"
"xtwitter_data.csv.21","x1227068105819611137",7,2,,,"no idea what he's saying","ironic","negative"
"xtwitter_data.csv.21","x1227068105819611137",7,2,,,"no idea what he's saying","tragic","negative"
"xtwitter_data.csv.21","x1227068105819611137",7,2,,,"no idea what he's saying","insufferable","negative"
"xtwitter_data.csv.22","x3016050119",0,0,,,"no idea what he's saying","disingenuous","negative"
"xtwitter_data.csv.23","x170933303",0,0,,,"no idea what he's saying","incoherent","negative"
"xtwitter_data.csv.24","x198789519",0,0,,,"no idea what he's saying","unintelligible","negative"
"xtwitter_data.csv.25","x1013616451326918656",3,0,,,"no idea what he's saying","fool","negative"
"xtwitter_data.csv.26","x1199230169669521408",1,0,,,"no idea what he's saying","works","positive"
"xtwitter_data.csv.26","x1199230169669521408",1,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.26","x1199230169669521408",1,0,,,"no idea what he's saying","incredibly","positive"
"xtwitter_data.csv.26","x1199230169669521408",1,0,,,"no idea what he's saying","talented","positive"
"xtwitter_data.csv.26","x1199230169669521408",1,0,,,"no idea what he's saying","handsome","positive"
"xtwitter_data.csv.26","x1199230169669521408",1,0,,,"no idea what he's saying","gorgeous","positive"
"xtwitter_data.csv.27","x375938546",2,0,,,"no idea what he's saying","handsome","positive"
"xtwitter_data.csv.27","x375938546",2,0,,,"no idea what he's saying","damn","negative"
"xtwitter_data.csv.28","x343728150",0,0,,,"no idea what he's saying","puzzled","negative"
"xtwitter_data.csv.28","x343728150",0,0,,,"no idea what he's saying","bad","negative"
"xtwitter_data.csv.29","x1377294431586516998",7,0,,,"no idea what he's saying","right","positive"
"xtwitter_data.csv.31","x3288404303",1,0,,,"no idea what he's saying","exhausted","negative"
"xtwitter_data.csv.31","x3288404303",1,0,,,"no idea what he's saying","ordeal","negative"
"xtwitter_data.csv.31","x3288404303",1,0,,,"no idea what he's saying","stupid","negative"
"xtwitter_data.csv.32","x116656892",4,0,,,"no idea what he's saying","love","positive"
"xtwitter_data.csv.32","x116656892",4,0,,,"no idea what he's saying","thug","negative"
"xtwitter_data.csv.33","x167792994",9,3,,,"no idea what he's saying","outburst","negative"
"xtwitter_data.csv.33","x167792994",9,3,,,"no idea what he's saying","delay","negative"
"xtwitter_data.csv.35","x1027234935260815361",0,0,,,"no idea what he's saying","clueless","negative"
"xtwitter_data.csv.35","x1027234935260815361",0,0,,,"no idea what he's saying","glad","positive"
"xtwitter_data.csv.36","x634269745",9,0,,,"no idea what he's saying","loves","positive"
"xtwitter_data.csv.36","x634269745",9,0,,,"no idea what he's saying","attack","negative"
"xtwitter_data.csv.36","x634269745",9,0,,,"no idea what he's saying","loving","positive"
"xtwitter_data.csv.36","x634269745",9,0,,,"no idea what he's saying","love","positive"
"xtwitter_data.csv.36","x634269745",9,0,,,"no idea what he's saying","diss","negative"
"xtwitter_data.csv.37","x4610801356",0,0,,,"no idea what he's saying","proves","positive"
"xtwitter_data.csv.37","x4610801356",0,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.38","x34274087",1,0,,,"no idea what he's saying","lovely","positive"
"xtwitter_data.csv.39","x1891054052",0,0,,,"no idea what he's saying","smart","positive"
"xtwitter_data.csv.39","x1891054052",0,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.40","x913885380725891072",2,0,,,"no idea what he's saying","damn","negative"
"xtwitter_data.csv.40","x913885380725891072",2,0,,,"no idea what he's saying","hard","negative"
"xtwitter_data.csv.42","x897567143411277832",1,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.42","x897567143411277832",1,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.44","x1263466292331393027",0,0,,,"no idea what he's saying","peace","positive"
"xtwitter_data.csv.45","x452442240",0,0,,,"no idea what he's saying","incoherent","negative"
"xtwitter_data.csv.45","x452442240",0,0,,,"no idea what he's saying","hurting","negative"
"xtwitter_data.csv.46","x468659400",15,0,,,"no idea what he's saying","whoa","positive"
"xtwitter_data.csv.48","x4799702183",2,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.50","x42542419",3,1,,,"no idea what he's saying","tough","positive"
"xtwitter_data.csv.51","x836650959187103744",3,0,,,"no idea what he's saying","advanced","positive"
"xtwitter_data.csv.51","x836650959187103744",3,0,,,"no idea what he's saying","bs","negative"
"xtwitter_data.csv.52","x909889197527453704",1,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.52","x909889197527453704",1,0,,,"no idea what he's saying","wrong","negative"
"xtwitter_data.csv.52","x909889197527453704",1,0,,,"no idea what he's saying","sue","negative"
"xtwitter_data.csv.53","x23279209",0,0,,,"no idea what he's saying","die","negative"
"xtwitter_data.csv.53","x23279209",0,0,,,"no idea what he's saying","reckless","negative"
"xtwitter_data.csv.54","x1081361444233494530",1,0,,,"no idea what he's saying","favorite","positive"
"xtwitter_data.csv.54","x1081361444233494530",1,0,,,"no idea what he's saying","beauty","positive"
"xtwitter_data.csv.54","x1081361444233494530",1,0,,,"no idea what he's saying","sad","negative"
"xtwitter_data.csv.55","x15640052",1,0,,,"no idea what he's saying","sucked","negative"
"xtwitter_data.csv.55","x15640052",1,0,,,"no idea what he's saying","shit","negative"
"xtwitter_data.csv.57","x43648936",0,0,,,"no idea what he's saying","welcome","positive"
"xtwitter_data.csv.57","x43648936",0,0,,,"no idea what he's saying","hell","negative"
"xtwitter_data.csv.57","x43648936",0,0,,,"no idea what he's saying","numb","negative"
"xtwitter_data.csv.58","x998922942334500864",1,0,,,"no idea what he's saying","nonsense","negative"
"xtwitter_data.csv.60","x1302815186",3,0,32.8100122,-117.10498915,"no idea what he's saying","talented","positive"
"xtwitter_data.csv.60","x1302815186",3,0,32.8100122,-117.10498915,"no idea what he's saying","terrible","negative"
"xtwitter_data.csv.61","x1003411366449958913",1,0,,,"no idea what he's saying","best","positive"
"xtwitter_data.csv.61","x1003411366449958913",1,0,,,"no idea what he's saying","win","positive"
"xtwitter_data.csv.63","x2457554636",0,0,,,"no idea what he's saying","fear","negative"
"xtwitter_data.csv.63","x2457554636",0,0,,,"no idea what he's saying","likes","positive"
"xtwitter_data.csv.64","x2287288806",0,0,32.7799665,-97.2859135,"no idea what he's saying","good","positive"
"xtwitter_data.csv.64","x2287288806",0,0,32.7799665,-97.2859135,"no idea what he's saying","good","positive"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","problem","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","died","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","like","positive"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","cancer","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","dies","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","wreck","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","died","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","cancer","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","died","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","wreck","negative"
"xtwitter_data.csv.65","x1290725082701000704",2,0,,,"no idea what he's saying","cancer","negative"
"xtwitter_data.csv.67","x367985248",1,0,40.00134,-74.1880345,"no idea what he's saying","great","positive"
"xtwitter_data.csv.68","x1162125750641680390",0,0,,,"no idea what he's saying","wrong","negative"
"xtwitter_data.csv.68","x1162125750641680390",0,0,,,"no idea what he's saying","enough","positive"
"xtwitter_data.csv.68","x1162125750641680390",0,0,,,"no idea what he's saying","support","positive"
"xtwitter_data.csv.69","x1315464400250306561",1,0,,,"no idea what he's saying","break","negative"
"xtwitter_data.csv.69","x1315464400250306561",1,0,,,"no idea what he's saying","good","positive"
"xtwitter_data.csv.69","x1315464400250306561",1,0,,,"no idea what he's saying","fear","negative"
"xtwitter_data.csv.69","x1315464400250306561",1,0,,,"no idea what he's saying","injustice","negative"
"xtwitter_data.csv.69","x1315464400250306561",1,0,,,"no idea what he's saying","hero","positive"
"xtwitter_data.csv.71","x182375438",1,0,,,"no idea what he's saying","truthfully","positive"
"xtwitter_data.csv.71","x182375438",1,0,,,"no idea what he's saying","bad","negative"
"xtwitter_data.csv.71","x182375438",1,0,,,"no idea what he's saying","sensible","positive"
"xtwitter_data.csv.71","x182375438",1,0,,,"no idea what he's saying","risk","negative"
"xtwitter_data.csv.73","x597087454",0,0,,,"no idea what he's saying","racist","negative"
"xtwitter_data.csv.73","x597087454",0,0,,,"no idea what he's saying","right","positive"
"xtwitter_data.csv.74","x875232573508784129",0,0,,,"no idea what he's saying","scare","negative"
"xtwitter_data.csv.74","x875232573508784129",0,0,,,"no idea what he's saying","puppets","negative"
"xtwitter_data.csv.75","x1283696995702538241",2,0,,,"no idea what he's saying","hilarious","positive"
"xtwitter_data.csv.77","x1375458076074070017",1,0,,,"no idea what she's saying","right","positive"
"xtwitter_data.csv.79","x1362927461181386752",0,0,,,"no idea what she's saying","heaven","positive"
"xtwitter_data.csv.81","x1401962653984165892",2,0,,,"no idea what she's saying","support","positive"
"xtwitter_data.csv.82","x20698734",1,0,,,"no idea what she's saying","love","positive"
"xtwitter_data.csv.83","x727920767220908032",3,0,,,"no idea what she's saying","correct","positive"
"xtwitter_data.csv.83","x727920767220908032",3,0,,,"no idea what she's saying","hard","negative"
"xtwitter_data.csv.84","x15938448",0,0,,,"no idea what she's saying","damn","negative"
"xtwitter_data.csv.86","x1087358578829123585",5,0,,,"no idea what she's saying","slowly","negative"
"xtwitter_data.csv.86","x1087358578829123585",5,0,,,"no idea what she's saying","falling","negative"
"xtwitter_data.csv.86","x1087358578829123585",5,0,,,"no idea what she's saying","love","positive"
"xtwitter_data.csv.86","x1087358578829123585",5,0,,,"no idea what she's saying","appreciate","positive"
"xtwitter_data.csv.87","x4799702183",2,0,,,"no idea what she's saying","like","positive"
"xtwitter_data.csv.88","x1413755035",2,1,,,"no idea what she's saying","slowly","negative"
"xtwitter_data.csv.88","x1413755035",2,1,,,"no idea what she's saying","hard","negative"
"xtwitter_data.csv.88","x1413755035",2,1,,,"no idea what she's saying","perfect","positive"
"xtwitter_data.csv.88","x1413755035",2,1,,,"no idea what she's saying","great","positive"
"xtwitter_data.csv.88","x1413755035",2,1,,,"no idea what she's saying","excited","positive"
"xtwitter_data.csv.89","x1431793506",1,0,,,"no idea what she's saying","interesting","positive"
"xtwitter_data.csv.91","x895369541265575936",1,0,,,"no idea what she's saying","beautiful","positive"
"xtwitter_data.csv.91","x895369541265575936",1,0,,,"no idea what she's saying","love","positive"
"xtwitter_data.csv.92","x707047955920986113",1,0,,,"no idea what she's saying","right","positive"
"xtwitter_data.csv.92","x707047955920986113",1,0,,,"no idea what she's saying","lie","negative"
"xtwitter_data.csv.92","x707047955920986113",1,0,,,"no idea what she's saying","issue","negative"
"xtwitter_data.csv.93","x13456052",0,0,,,"no idea what she's saying","like","positive"
"xtwitter_data.csv.93","x13456052",0,0,,,"no idea what she's saying","cancer","negative"
"xtwitter_data.csv.93","x13456052",0,0,,,"no idea what she's saying","like","positive"
"xtwitter_data.csv.93","x13456052",0,0,,,"no idea what she's saying","like","positive"
"xtwitter_data.csv.93","x13456052",0,0,,,"no idea what she's saying","sick","negative"
"xtwitter_data.csv.93","x13456052",0,0,,,"no idea what she's saying","failing","negative"
"xtwitter_data.csv.94","x503515911",34,4,,,"no idea what she's saying","wholeheartedly","positive"
"xtwitter_data.csv.94","x503515911",34,4,,,"no idea what she's saying","support","positive"
"xtwitter_data.csv.95","x919764687037886464",1,0,,,"no idea what she's saying","like","positive"
"xtwitter_data.csv.95","x919764687037886464",1,0,,,"no idea what she's saying","fuck","negative"
"xtwitter_data.csv.95","x919764687037886464",1,0,,,"no idea what she's saying","best","positive"
"xtwitter_data.csv.98","x33365464",0,0,,,"no idea what she's saying","damn","negative"
"xtwitter_data.csv.98","x33365464",0,0,,,"no idea what she's saying","stuck","negative"
"xtwitter_data.csv.99","x1283696995702538241",2,0,,,"no idea what she's saying","hilarious","positive"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","byzantine","negative"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","reform","positive"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","weird","negative"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","superfluous","negative"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","plot","negative"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","twist","negative"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","shit","negative"
"xtwitter_data.csv.100","x308930968",6,0,,,"weird accent","dead","negative"
"xtwitter_data.csv.101","x16793838",1,0,,,"weird accent","fun","positive"
"xtwitter_data.csv.101","x16793838",1,0,,,"weird accent","wildly","negative"
"xtwitter_data.csv.101","x16793838",1,0,,,"weird accent","perfect","positive"
"xtwitter_data.csv.101","x16793838",1,0,,,"weird accent","dark","negative"
"xtwitter_data.csv.101","x16793838",1,0,,,"weird accent","weird","negative"
"xtwitter_data.csv.101","x16793838",1,0,,,"weird accent","pretty","positive"
"xtwitter_data.csv.102","x1237544379369361408",0,0,,,"weird accent","gains","positive"
"xtwitter_data.csv.102","x1237544379369361408",0,0,,,"weird accent","weird","negative"
"xtwitter_data.csv.102","x1237544379369361408",0,0,,,"weird accent","gains","positive"
"xtwitter_data.csv.102","x1237544379369361408",0,0,,,"weird accent","gains","positive"
"xtwitter_data.csv.102","x1237544379369361408",0,0,,,"weird accent","sarcasm","negative"
"xtwitter_data.csv.103","x4313192063",0,0,,,"weird accent","good","positive"
"xtwitter_data.csv.103","x4313192063",0,0,,,"weird accent","weird","negative"
"xtwitter_data.csv.104","x18060026",3,0,,,"weird accent","better","positive"
"xtwitter_data.csv.104","x18060026",3,0,,,"weird accent","tired","negative"
"xtwitter_data.csv.104","x18060026",3,0,,,"weird accent","weird","negative"
"xtwitter_data.csv.104","x18060026",3,0,,,"weird accent","smartest","positive"
