"text","text.1","favorite_count","retweet_count","lat","lng","search_term"
"x4610801356","@FordJohnathan5 Just by saying that he’s on tucker Carlson just proves that he has no idea what’s going on.  2021 tucker Carlson is like 1995 jerry springer",0,0,,,"no idea what he's saying"
"x34274087","#TheMaskedSinger #HamsterMask I have no idea what he's saying but this is lovely",1,0,,,"no idea what he's saying"
"x1891054052","@SantaMonicaMM I am not saying it’s a normal part of any system lmfao. I’m saying it’s what Trey can do for an offense. I agree it’s not smart to use him like that, but that’s what he can actually do

I have no idea what you’re arguing. I’ll ask again, how exactly should he be used?",0,0,,,"no idea what he's saying"
"x913885380725891072","I have no idea what he's saying but damn this song goes hard.🤣👌
https://t.co/CG7iLQUhCo",2,0,,,"no idea what he's saying"
"x2193722628","@EmeraldCityML @Th0mist I honestly have no idea what he’s saying. Neither does he.",12,0,,,"no idea what he's saying"
"x897567143411277832","@seagulljaap @jcgkaufmann Perhaps he’s just saying it’s not a textbook. Like you use in school!? I have no idea and I’m grasping at straws but like what???",1,0,,,"no idea what he's saying"
"x22067793","Henry has been saying """"awah"""" a LOT. He will say """"what is that? Awah"""" and we had no idea what it meant. I just told him to say Stella and he went """"awah"""" 🥺🥺🥺 he's asking for his sister or asking where she is going when she gets picked up.",3,0,,,"no idea what he's saying"
"x1048299662749433858","@BruceIronsNFL He blocked me. I have no idea what he’s saying",0,0,,,"no idea what he's saying"
"x1263466292331393027","@tygertyger18 @jordanbpeterson You have no idea, it's what you give up, think what he's saying not just react.... Peace brother",0,0,,,"no idea what he's saying"
"x452442240","But he’s droning on about something in Scranton. 
Incoherent ramble about the kitchen table in Scranton.
 And hurting people that beat him( and he’s not kidding). Have absolutely no idea what he’s saying. None. https://t.co/WY3JRBtfr5",0,0,,,"no idea what he's saying"
"x468659400","@life_is_art___ Whoa. He knows what's up. He knew it back in 2017. Any idea what he's doing now or of he's still speaking about this? I had no idea this guy said/knew everything we've been saying all these years.",13,0,,,"no idea what he's saying"
"x27347089","no idea what my dad's source is, but he sent me a message saying this trade happened? https://t.co/yDyK0pE4O1",0,0,,,"no idea what he's saying"
"x4799702183","@BenBRockN @Jesus_my_amor What she’s saying is that we have no idea what he looks like so to create art or statues to be an image of him is idolatry and it is.",2,0,,,"no idea what he's saying"
"x1450093621512921088","@HalSparks @marcorubio So he wants to see kids in factories I take it from his tweet. He has no idea what he’s even saying.",0,0,,,"no idea what he's saying"
"x42542419","This we all@knew without him saying it, that’s not the story. The story is Beal said this: “But it’s also tough on the back end, because you have no idea what you want to do.” - he’s mulling over leaving https://t.co/Hc1hJXMGeD",3,1,,,"no idea what he's saying"
"x836650959187103744","@effle @tslabuzz @RiskTako @GemmRand @jasondebolt There's no point debating these clowns, man.
Dude says """"advanced software"""" instead of FSD or Autopilot for a reason. Guy has no idea what he's actually saying. Just repeating the random BS Elon's promo team feeds them",3,0,,,"no idea what he's saying"
"x909889197527453704","I like how """"law students"""" are saying it's wrong and he could sue but they also have no idea what's in his contract",1,0,,,"no idea what he's saying"
"x23279209","@YazzyYee @thesophiratchet @heyMAKWA So what you're saying is that the bus driver had absolutely no idea whether he was leaving a kid in the wilderness to die, too far from any walkable distance to civilization.

That makes the driver's actions more reckless, not lenient.",0,0,,,"no idea what he's saying"
"x1081361444233494530","Juanes is my current favorite person to listen to while I workout. Lol no idea what he’s saying but that’s the beauty of it 💀 maybe he’s saying something sad but the beat is gewd. Kbye",1,0,,,"no idea what he's saying"
"x15640052","@Gambo987 For everyone saying he sucked against Gianni's have no idea what they're talking about. He literally got every single call off purposely forced contact. Look at him tonight, he's not getting those calls because the NBA changed the rules. DA did what he could with bull shit calls",1,0,,,"no idea what he's saying"
"x3167139808","@rasmansa I have no idea what he's saying...",1,0,,,"no idea what he's saying"
"x43648936","Joe Biden """"Welcome the competition."""" with the CCP missile capabilities! WHAT IN THE HELL IS HE TALKING ABOUT? Numb Nuts has no idea what he is saying because HE'S IN BED WITH THE COMMUNISTS!
#ImpeachBidenHarrisNow",0,0,,,"no idea what he's saying"
"x998922942334500864","@BoydLinhart @Sports4Heretics @AndreMaillho @TheCajunsLogo @victoirecajun He has no idea what he’s saying. Just trolling with nonsense. https://t.co/skT0vWSGJS",1,0,,,"no idea what he's saying"
"x1074698690961408002","I’m convinced pat shurmur has no idea what he’s saying.",2,0,,,"no idea what he's saying"
"x1302815186","As talented as Simmons is.. this is a terrible look. I’m not saying he can’t want out, but with the way he’s acting I have no idea what team would want him. https://t.co/mxXGIUgIrJ",3,0,32.8100122,-117.10498915,"no idea what he's saying"
"x1003411366449958913","@stillbevens @keithedward07 @lindseyadler So you’re saying it’s not the managers job to get the best out of his team? Have you watched the Sox? Or Do you remember the late 90’s teams under torre? The manager needs to put the team in a position to win. Boone has shown he has no idea what that position is",1,0,,,"no idea what he's saying"
"x1167848903166873605","@WillTheThrill03 @SaifSmacks @BamaWing05 @BackAftaThis @OldTakesExposed Yea I have no idea what he’s saying. Metcalf is far from buns",12,0,,,"no idea what he's saying"
"x2457554636","@ThatEricAlper “Don’t Fear the Reaper”. My hubs never listens to lyrics which I can’t understand because I can’t NOT listen to lyrics. I finally asked him “how can you listen to this? Don’t you hear what it’s saying?” He had no idea. He still likes it because he still doesn’t hear the words.",0,0,,,"no idea what he's saying"
"x2287288806","@BREElieve I’m literally not arguing I’m asking you what did he need to do for this situation to be good but you keep saying it’s not about the situation so I have no idea what dude coulda did to be good or continue to do I’m legit asking",0,0,32.7799665,-97.2859135,"no idea what he's saying"
"x1290725082701000704","@mathewi What’s a part of the problem?  He died from complications of COVID-19. PERIOD.  That’s like saying a guy with cancer who dies in a car wreck died from cancer, no he died in a car wreck.  You have no idea how long he might have lived with cancer.",2,0,,,"no idea what he's saying"
"x996554799498874885","@JennAN1968 @Dosbornern @brunettenurse72 I do remember him saying that, but that boy has no idea of what he's signed himself up for, NO IDEA 😂🤣 https://t.co/9v5DIIIkZv",6,0,,,"no idea what he's saying"
"x367985248","@705Cinder No idea what he’s saying but it’s great!",1,0,40.00134,-74.1880345,"no idea what he's saying"
"x1162125750641680390","@catovitch @ChiTownSports @oraclecrank @robreiner I’m not saying he wasn’t wrong there.  I have no idea. I’m saying that what’s been shared here isn’t nearly enough to support the conclusion we’re being asked to draw.",0,0,,,"no idea what he's saying"
"x1315464400250306561","@JordanBlueman @MestizoLeftist I understand what you're saying, but the fact is that Superman already takes the law into his own hands. It's the idea that this vigilante needs to monitor himself and break the law for the greater good. If he didn't do that at all for fear of becoming Injustice, he'd be no hero.",1,0,,,"no idea what he's saying"
"x1338927953808277504","@Greenlantern66 @MrNiceGuy513 I was just saying in the sense of the film's version of young bruce; Being it's his first years, he ain't no rookie &amp; has an idea of what to have the suit made out of to stand up to the underworld. Since lots of criminals have guns, pull his resources to have a suit bulletproof.",0,0,,,"no idea what he's saying"
"x182375438","@LesleyAnnStockm @KevinMKruse @johnrobertsFox Tat is not at all what Kevin is saying.  Actually that's the OPPOSITE of what he is saying.  Truthfully, I have no goddamn idea how you came to that conclusion!

You want to own the libs so bad you can taste it.  Just get the shot and stop putting sensible ppl at risk.",1,0,,,"no idea what he's saying"
"x3321293287","Overlaying commentary of Arch saying he’s really developing his techniques with vision of him having no idea what he’s doing is molto bene https://t.co/TEsCKTy5Wp",2,0,,,"no idea what he's saying"
"x597087454","@tigerdalejr @killercantseeit Look, I don't give a flying
F*** about Hunter Biden.  
I don't care about him at 
all or if he's racist.  I was 
addressing the N-WORD 
EQUIVALENCY NARRATIVE 
you Right-wingers running.
 I'm simply saying context
doesn't matter to you,
and you have NO IDEA who
EXACTLY said what.",0,0,,,"no idea what he's saying"
"x875232573508784129","@angel_star39 FYI, he's a US citizen, and why I have no idea. Just viewing what he's saying ought to put a scare into you. Then there are those he's backing with his $$$ and at that point, they are his puppets, not our elected officials. https://t.co/KrjnG3QzzU",0,0,,,"no idea what he's saying"
"x1283696995702538241","@he_is_animation @blumod_ I have no idea what she's saying but it's hilarious.",2,0,,,"no idea what he's saying"
"x94263555","AHAFAMFABFJGMMC not beiyuan saying that he &amp; wuxi's teacher were basically just talking nonsense at each other """"i literally have no idea what we were talking about""""",1,0,,,"no idea what he's saying"
"x15238700","@fi_virginia I’ve tried to ratchet down my trump tweets. He’s the gop front runner but that’s your problem, not mine. 

But I’ll say that I get my Fauci updates from you primarily. I have no idea what he’s saying otherwise. If you don’t like his messaging, all you’re doing is promoting it.",1,0,,,"no idea what he's saying"
"x1013995245820932098","@TheBopPops @SandrockGaming I have no idea what he's saying then I hear """"MUSTY FLICK CEIELING RESET YOOOOOO""""",37,0,,,"no idea what he's saying"
"x1301915596377010183","Thank you! I have no idea why people continue to engage with him. He has misrepresented so much I instantly know that whatever he is saying is the opposite of what happened. It’s insane that he still has a following. https://t.co/M4AO3YFzzx",8,1,,,"no idea what he's saying"
"x552855068","@MollyJongFast Yes a statement like that will cause a crash on Wall Street. This man has no idea what he’s saying or doing",2,0,,,"no idea what he's saying"
"x45482079","played this part back three times, no idea what he's saying https://t.co/5s7eaUfpHU",3,0,34.0207895,-118.4119065,"no idea what he's saying"
"x3033735315","@kansasauthor @eclipsethis2003 @USATRUMPMAN1 That man Joe has no idea what he saying, reading everything he’s wife should know better but selfish wanting to be know 4 the glory of the life she has, I heard an sitting at his desk. 
Is this called LOVE ❤️? 
NO! I call it SELFISH!!!",1,0,,,"no idea what he's saying"
"x3432246267","@ChristnNitemare The child is just parroting what he’s been taught. He has no idea what he’s saying and I bet any questions or doubts are immediately squashed by parents, church, etc. Would love to know his beliefs in 20 years or so.",3,0,,,"no idea what he's saying"
"x1287252968455249922","@TheDonCallis Roman has no idea what he is even saying.
He is nothing more than Vince's puppet.",0,0,,,"no idea what he's saying"
"x2903969204","@MSzafranski413 @billscher Sure. And recall just a couple weeks ago Manchin was saying he wanted recon """"paused"""" until next year… and yet talks are happening &amp; it's Oct of the year before next year.

Tbc I have no idea what Manchin's bottom line is on climate; just saying for him it's always been abt that.",2,0,,,"no idea what he's saying"
"x1409704928457629707","@srenner22 @ThisIsMike27 @jlight97 @ErikKratz31 i feel like i’m talking to a fucking toddler 😂😂 he has no idea what he’s saying",0,0,,,"no idea what he's saying"
"x1325813474518315015","@NehlsStan He’s completely incoherent and has lost it. Has no idea what he’s saying.",1,0,,,"no idea what he's saying"
"x285076545","@neithskye @Kat54Kitty @saturdayobrien @_celia_bedelia_ @libbyking @lucehoneychurch @jpohhhh @BUCSFAN420 @drjudymelinek @MattWalshBlog He has said it to me before. I have no idea what he's saying now cuz he blocked me then.",0,0,,,"no idea what he's saying"
"x945845580370243585","the best Julien Casablancas songs are the ones where I have no idea what the hell he's saying. See: Human Sadness by The Voidz, Instant Crush by Daft Punk",0,0,,,"no idea what he's saying"
"x722758200483844096","@Trump_Desantis_ @lion_politics Like saying that Lynda Blanchard and David Perdue will be the nominees for Gov in their states? Dude has no idea what he’s talking about",0,0,,,"no idea what he's saying"
"x1011628639123845121","@MomToBoo I have no idea what he's saying but him and Elin have the cutest interactions. ❤️",1,0,,,"no idea what he's saying"
"x1013652967","Sean Paul can have some adlibs that we have no idea what he's saying but it's fire",0,1,,,"no idea what he's saying"
"x1170499199751921665","@DailyCaller He has no idea what he’s saying, he’s sleepy",0,0,40.4077719,-80.5742142,"no idea what he's saying"
"x1071051711417065472","@realannapaulina And the guy behind him from Haiti has no idea what he’s saying 🤪",3,0,,,"no idea what he's saying"
"x23835864","No idea what he’s saying, but it’s kinda relaxing. https://t.co/KqJ8y00IZV",0,0,,,"no idea what he's saying"
"x3123820888","asked my supervisor if he was doing anything fun on his day off and he responded by saying he’s having his house blessed. 
i literally had no idea what to say to that.",3,0,,,"no idea what he's saying"
"x598783739","@Titan_Cane i’m not disagreeing they should play but manny has a history of saying one thing and doing another. he’s also stuck with “leaning on experience” for a long time. so, I have no idea what he’s up to",0,0,,,"no idea what he's saying"
"x185279440","@ONowland @Yahoo Holy crap! I had NO IDEA what he was saying:
""""Gold Coast slave ship bound for cotton fields
Sold in the market down in New Orleans
Skydog slaver know he's doin' all right
Hear him whip the women just around midnight""""",0,0,,,"no idea what he's saying"
"x1361340236077400068","@D2X__ no idea what he’s saying bruh",0,0,,,"no idea what he's saying"
"x467740787","@__ChristianC_ no idea what he's saying but I do know dude is wrong about everything always",2,0,38.9964475,-94.467991,"no idea what he's saying"
"x1859217156","@BrooklynSV_ @EXiLE_TiTANARMY @LLamaTheNative @khscar12 What? First of all I love how you keep saying “woman” as though this situation only occurred because it was gender based…that’s just asinine…secondly…you’re making up specifics you have no idea how long he was pointing at her, this interaction could’ve been 5 seconds",0,0,,,"no idea what he's saying"
"x562443305","@latheredlips @0nerouge @StushRushx @calmronin @TheNBACentral Cause he has no idea what he’s saying😂😂",6,0,,,"no idea what he's saying"
"x332170142","Every time Ronni talks I feel like he has no idea what he’s saying  #LoveIslandAU",0,0,,,"no idea what he's saying"
"x560113809","@ScottWamplerBMD I’ve been offline most of the day, so I have no idea what people are saying and I wanna keep it that way. He’s always seemed like a great level headed dude, and anyone that takes cheap shots is an instant block.",2,0,,,"no idea what he's saying"
